allocSize,allocFrequency,reallocCount,grewByRealloc,activeAllocations,largestAllocation,totalAllocatedBytes,totalFreedBytes,fragmentationPercent,label
183,11,4,0,20,1013,6766,4143,61.33,CACHE_LEAK
452,1,8,0,14,824,2997,61,1.11,NORMAL
306,4,5,1,9,329,5428,4821,98.91,FRAGMENTED
127,1,0,1,14,929,5784,5168,52.92,NORMAL
13,4,0,1,13,108,3521,1137,38.45,NORMAL
440,13,1,0,4,675,7595,6163,75.73,CACHE_LEAK
175,13,7,1,1,381,1954,115,43.45,GROWING_LEAK
334,14,8,0,1,650,8709,5343,51.7,CACHE_LEAK
401,10,6,1,14,1020,9240,641,88.27,GROWING_LEAK
272,6,9,0,20,900,4800,1111,38.32,NORMAL
398,12,10,1,19,730,1869,394,7.71,NORMAL
55,7,8,1,13,317,4078,3860,41.01,GROWING_LEAK
268,6,10,1,6,835,2193,1509,51.59,GROWING_LEAK
480,9,5,1,18,731,4948,2623,86.82,CACHE_LEAK
235,3,5,0,19,374,2634,611,54.58,NORMAL
223,15,3,1,14,891,6667,2551,65.29,CACHE_LEAK
318,15,2,0,7,518,5502,1593,96.38,CACHE_LEAK
438,3,7,0,15,556,8252,6215,58.68,NORMAL
171,12,7,0,7,439,1992,295,48.18,CACHE_LEAK
308,8,8,0,7,336,2496,2091,34.33,NORMAL
287,14,10,0,17,888,1004,619,55.23,CACHE_LEAK
450,14,2,1,10,541,2583,1421,50.66,CACHE_LEAK
330,5,3,1,10,474,4085,2483,50.41,NORMAL
186,13,4,1,12,886,3638,575,90.97,CACHE_LEAK
478,1,7,0,2,658,8571,2653,7.52,NORMAL
104,12,10,0,5,706,593,58,86.79,CACHE_LEAK
322,2,4,0,12,577,7299,3523,34.48,NORMAL
247,2,7,0,17,644,7994,3062,65.89,FRAGMENTED
190,13,10,0,11,364,1074,735,41.45,CACHE_LEAK
230,6,8,1,18,667,6907,6897,22.49,NORMAL
262,4,0,1,10,780,7729,5016,11.91,NORMAL
504,2,4,0,12,806,9894,6931,47.98,NORMAL
299,11,10,1,20,602,7156,4568,79.59,GROWING_LEAK
455,11,5,0,5,789,4352,3448,55.94,CACHE_LEAK
388,14,6,1,19,546,4152,3216,86.39,GROWING_LEAK
349,5,10,1,4,392,6642,364,77.24,GROWING_LEAK
256,15,0,0,17,921,3053,1990,94.99,CACHE_LEAK
262,6,3,0,20,303,4296,1251,49.21,NORMAL
500,10,1,0,13,587,1263,1162,76.09,CACHE_LEAK
29,2,7,1,13,182,2125,582,34.03,NORMAL
54,8,1,0,20,735,9202,6928,67.06,FRAGMENTED
190,5,0,0,4,828,8695,804,40.84,NORMAL
394,4,6,0,5,560,1219,359,96.85,FRAGMENTED
166,3,0,1,13,730,513,385,77.01,FRAGMENTED
275,12,6,0,13,799,9529,4172,85.2,CACHE_LEAK
65,14,3,1,20,758,4781,2106,11.25,NORMAL
331,9,5,0,7,710,1416,1298,18.71,NORMAL
482,10,4,1,13,826,929,253,40.09,CACHE_LEAK
411,6,8,1,1,629,5942,2239,24.02,NORMAL
492,7,7,1,10,688,9216,6304,35.78,NORMAL
99,8,3,0,12,529,5732,1272,62.2,FRAGMENTED
196,12,8,0,4,318,7996,5899,9.97,NORMAL
143,5,6,0,8,216,5065,116,92.66,FRAGMENTED
99,3,1,0,13,339,1987,1590,45.7,NORMAL
437,9,7,0,18,963,3942,2713,58.89,CACHE_LEAK
493,13,1,1,19,920,2844,688,3.77,NORMAL
206,7,4,1,1,706,5019,3344,12.81,NORMAL
79,13,0,0,17,326,9549,8525,97.63,CACHE_LEAK
316,11,7,0,12,881,1675,1467,93.4,CACHE_LEAK
496,9,4,1,7,641,8310,2477,39.73,CACHE_LEAK
77,1,2,0,2,172,747,655,39.9,NORMAL
445,11,7,0,11,838,6438,3535,75.46,CACHE_LEAK
454,9,8,0,1,998,3370,1448,74.64,CACHE_LEAK
53,15,1,1,4,587,6427,1858,6.89,NORMAL
355,11,2,1,12,511,6910,5959,49.67,CACHE_LEAK
279,10,3,1,17,953,9045,2538,22.47,NORMAL
16,3,10,1,8,365,8053,5135,18.03,NORMAL
41,12,2,1,9,937,4152,3664,55.53,CACHE_LEAK
106,13,7,1,11,981,5954,3410,19.48,NORMAL
88,14,10,0,12,224,3678,3135,88.24,CACHE_LEAK
282,4,9,1,20,747,8145,549,57.64,GROWING_LEAK
169,2,0,0,3,622,6193,5110,64.23,FRAGMENTED
374,9,7,1,20,502,6533,876,28.67,CACHE_LEAK
257,7,5,0,11,368,3660,387,23.84,NORMAL
18,11,1,0,3,816,2326,1939,24.06,NORMAL
315,1,9,0,16,619,6719,2817,74.53,FRAGMENTED
176,3,10,0,14,912,2983,2281,51.77,NORMAL
48,6,10,0,1,513,5853,5452,23.83,NORMAL
250,14,9,0,14,863,4455,1781,30.25,CACHE_LEAK
209,5,8,0,17,757,6207,2375,80.03,FRAGMENTED
228,10,3,0,15,739,3613,319,94.72,CACHE_LEAK
65,10,6,0,19,646,1239,193,45.03,CACHE_LEAK
386,3,7,0,10,938,8317,1746,62.73,FRAGMENTED
192,6,10,0,18,413,3006,507,72.59,FRAGMENTED
151,5,10,0,4,1008,8523,3348,40.61,NORMAL
106,3,6,0,1,790,6139,2279,91.62,FRAGMENTED
30,14,8,1,17,897,2206,2118,7.54,NORMAL
137,6,1,1,4,986,4792,2764,56.69,NORMAL
447,14,2,0,11,946,478,101,95.1,CACHE_LEAK
74,14,9,0,15,105,536,105,78.44,CACHE_LEAK
108,15,7,1,3,797,9694,3524,55.45,GROWING_LEAK
205,15,5,0,13,827,6989,2457,12.14,NORMAL
32,2,8,0,5,278,411,386,38.53,NORMAL
188,14,1,0,5,681,9485,5011,13.21,NORMAL
60,10,9,1,4,199,5178,1899,91.04,GROWING_LEAK
146,5,6,1,18,224,750,552,95.71,GROWING_LEAK
30,7,7,0,14,542,562,481,18.18,NORMAL
352,15,9,0,16,938,1818,1128,71.02,CACHE_LEAK
206,5,5,1,18,261,1084,3,98.83,FRAGMENTED
177,8,3,1,9,636,1344,279,2.02,NORMAL
485,5,10,1,1,861,4770,2742,98.32,GROWING_LEAK
364,15,8,0,8,858,3816,3180,65.7,CACHE_LEAK
